field_api_name,file,line_no,content
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomer.cls,206,"        dataSectionList.add(ecacc.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomer.cls,327,"            masterDownload.FileName__c = ecacc.BrandCode__c + '_' +  ecacc.PartnerCode__c + '_CUSTOMER_T_' + dt + '.csv';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomerProducts.cls,224,"        dataSectionList.add(ecCusPro.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomerProducts.cls,253,"            masterDownload.FileName__c = ecCusPro.BrandCode__c + '_' + ecCusPro.PartnerCode__c + '_CUSTOMER_PRODUCTS_T_' + dt + '.csv';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomerProductsTest.cls,39,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomerTest.cls,42,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadDeleteBatchTest.cls,60,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfo.cls,339,"        fieldList.add('PartnerCode__c');"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfo.cls,500,"        dataSectionList.add(ecserLocation.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfo.cls,644,"            masterDownload.FileName__c = ecserLocation.BrandCode__c + '_' + ecserLocation.PartnerCode__c + '_SVCINFO_T_' + dt + '.csv';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfo.cls,672,"        dataSectionList.add(ecserLocation.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfo.cls,816,"            masterDownload.FileName__c = ecserLocation.BrandCode__c + '_' + ecserLocation.PartnerCode__c + '_SVCINFO_T_' + dt + '.csv';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfoTest.cls,35,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadSvcinfoTest.cls,67,"            PartnerCode__c = 'PC',"
PartnerCode__c,force-app/main/default/classes/MigrationTool_Electrical_Test.cls,56,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/MigrationTool_Kyuden_Test.cls,56,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/MigrationTool_NewKyudenAgency_Test.cls,56,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/MigrationTool_NewKyudenMediate_Test.cls,105,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/PartPaymentReportCreateBatchTest.cls,18,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/PartPaymentReportCreateBatchTest.cls,177,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/PartPaymentReportCreateBatchTest.cls,324,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/PassToCreateOpeningInformationBatchTest.cls,38,"        pT.PartnerCode__c = 'G000015623';"
PartnerCode__c,force-app/main/default/classes/PassToSendOpeningInformationBatchTest.cls,38,"        pT.PartnerCode__c = 'G000015623';"
PartnerCode__c,force-app/main/default/classes/PRT_BillDataDeleteBatch.cls,38,"        conditions +=  String.IsNotBlank(partnerCode) ? ' WHERE PartnerCode__c = \'' + partnerCode + '\'' : '';"
PartnerCode__c,force-app/main/default/classes/PRT_BillDataDeleteBatchTest.cls,11,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/PRT_BillDataDeleteBatchTest.cls,59,"            PartnerCode__c='0000001222',"
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateBatch.cls,43,"        conditions +=  String.IsNotBlank(partnerCode) ? ' WHERE PartnerCode__c = \'' + partnerCode + '\'' : '';"
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateBatch.cls,132,"            billPrintSum.PartnerCode__c = setText(billSum.Bill_PartnerCode__c);                                         // パートナーコード"
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateBatchTest.cls,10,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateBatchTest.cls,57,"            PartnerCode__c='0000001234',"
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateControllerTest.cls,9,"            PartnerCode__c= '0000000000',"
